position,feature,gain,normalized_gain,group
QB,attempts_prev,457.67401123046875,0.00022702108870515243,Prior season
QB,completions_prev,3628.208984375,0.001799708817785267,Prior season
QB,passing_yards_prev,3499.1520385742188,0.0017356924051821457,Prior season
QB,passing_tds_prev,515.5759887695312,0.00025574233932578225,Prior season
QB,passing_interceptions_prev,1387.9989929199219,0.000688492321526336,Prior season
QB,sacks_suffered_prev,1510.2539978027344,0.0007491347517869733,Prior season
QB,passing_air_yards_prev,8249.509979248047,0.00409202334154348,Prior season
QB,carries_prev,12347.885864257812,0.0061249501245967865,Prior season
QB,rushing_yards_prev,1691.5660400390625,0.0008390713796352132,Prior season
QB,rushing_tds_prev,0.0,0.0,Prior season
QB,rushing_fumbles_lost_prev,898.3809814453125,0.000445625977169622,Prior season
QB,sack_fumbles_lost_prev,1059.8500061035156,0.0005257198275316108,Prior season
QB,games_prev,940.385986328125,0.00046646181601029264,Prior season
QB,attempts_lag1,3084.3680114746094,0.0015299461336023014,Recent form
QB,attempts_roll3_mean,4915.375885009766,0.0024381851654846176,Recent form
QB,attempts_roll5_mean,2366.5690307617188,0.0011738946601206,Recent form
QB,completions_lag1,6007.511047363281,0.0029799194730632506,Recent form
QB,completions_roll3_mean,4198.443054199219,0.0020825633303240506,Recent form
QB,completions_roll5_mean,2443.1969604492188,0.0012119045877022603,Recent form
QB,passing_yards_lag1,6286.5699462890625,0.0031183416982550802,Recent form
QB,passing_yards_roll3_mean,6659.304992675781,0.003303230317562475,Recent form
QB,passing_yards_roll5_mean,11741.117889404297,0.005823973615416544,Recent form
QB,passing_tds_lag1,0.0,0.0,Recent form
QB,passing_tds_roll3_mean,2978.1929931640625,0.0014772798959338228,Recent form
QB,passing_tds_roll5_mean,462.89801025390625,0.00022961236091330548,Recent form
QB,passing_interceptions_lag1,0.0,0.0,Recent form
QB,passing_interceptions_roll3_mean,3709.2970581054688,0.001839931120838487,Recent form
QB,passing_interceptions_roll5_mean,1584.4249877929688,0.0007859259579396922,Recent form
QB,sacks_suffered_lag1,347.6549987792969,0.00017244810581328927,Recent form
QB,sacks_suffered_roll3_mean,526.5900268554688,0.0002612056578799364,Recent form
QB,sacks_suffered_roll5_mean,2173.093994140625,0.001077924794292077,Recent form
QB,passing_air_yards_lag1,1854.3159790039062,0.0009198006048563725,Recent form
QB,passing_air_yards_roll3_mean,2723.7740173339844,0.0013510798682658566,Recent form
QB,passing_air_yards_roll5_mean,4059.907012939453,0.002013844980275862,Recent form
QB,carries_lag1,4921.601989746094,0.002441273514486199,Recent form
QB,carries_roll3_mean,1693.7580261230469,0.000840158675516128,Recent form
QB,carries_roll5_mean,7370.853942871094,0.0036561815740824874,Recent form
QB,rushing_yards_lag1,9411.740020751953,0.004668526972673161,Recent form
QB,rushing_yards_roll3_mean,7626.422943115234,0.00378295205099623,Recent form
QB,rushing_yards_roll5_mean,8895.257995605469,0.00441233521004683,Recent form
QB,rushing_tds_lag1,0.0,0.0,Recent form
QB,rushing_tds_roll3_mean,395.2909851074219,0.00019607709328557324,Recent form
QB,rushing_tds_roll5_mean,892.9750061035156,0.000442944438831213,Recent form
QB,rushing_fumbles_lost_lag1,0.0,0.0,Recent form
